host_time_s,firmware_timestamp_ms,phase,pinvAlloc.errT,pinvAlloc.errR,pinvAlloc.errP,pinvAlloc.errY,pinvAlloc.objective
6.055954306008061,15550,takeoff,0.0,0.0,0.0,0.0,0.0
6.0765908420144115,15570,takeoff,0.0,0.0,0.0,0.0,0.0
6.09773214199231,15590,takeoff,0.0,0.0,0.0,0.0,0.0
6.115002658014419,15609,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.13687552101328,15631,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.154820580006344,15649,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.17491537501337,15669,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.195498535002116,15689,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.218194501008838,15710,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.238043770019431,15730,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.257931310014101,15750,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.277919232001295,15770,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.298329965007724,15790,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.318151387007674,15810,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.338183426007163,15830,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.357817537995288,15850,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.378151684009936,15870,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.3969592670036945,15889,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.416895011003362,15909,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.436843233997934,15929,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.456894358998397,15949,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.476888014993165,15969,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.497164051019354,15989,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.5168993120023515,16009,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.536866676993668,16029,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.557141144003253,16049,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.577644217002671,16069,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
