sequence_index,motor,repetition_within_motor,trial_seed,selected_policy,tag,expected_csv
109,4,28,45280028,cem_tuned_qplite,seededsupervisor_production120_m4_eta0p496_seed45280028,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280028.csv
110,1,28,15280028,cem_tuned_qplite,seededsupervisor_production120_m1_eta0p496_seed15280028,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280028.csv
111,2,27,25280027,pinv_bounded_wls,seededsupervisor_production120_m2_eta0p496_seed25280027,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280027.csv
112,4,29,45280029,cem_tuned_qplite,seededsupervisor_production120_m4_eta0p496_seed45280029,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280029.csv
113,1,29,15280029,cem_tuned_qplite,seededsupervisor_production120_m1_eta0p496_seed15280029,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280029.csv
114,2,28,25280028,pinv_bounded_wls,seededsupervisor_production120_m2_eta0p496_seed25280028,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280028.csv
115,2,29,25280029,pinv_bounded_wls,seededsupervisor_production120_m2_eta0p496_seed25280029,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280029.csv
116,3,29,35280029,cem_tuned_qplite,seededsupervisor_production120_m3_eta0p496_seed35280029,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280029.csv
117,1,30,15280030,cem_tuned_qplite,seededsupervisor_production120_m1_eta0p496_seed15280030,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280030.csv
118,3,30,35280030,cem_tuned_qplite,seededsupervisor_production120_m3_eta0p496_seed35280030,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280030.csv
119,4,30,45280030,cem_tuned_qplite,seededsupervisor_production120_m4_eta0p496_seed45280030,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280030.csv
120,2,30,25280030,pinv_bounded_wls,seededsupervisor_production120_m2_eta0p496_seed25280030,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280030.csv
