condition_index,condition_id,parameter,factor,plant_sha256,controller,controller_order,motor,eta,rep,trial_seed,protocol_id,experiment_protocol_id,tag
2,mass_minus10,mass,0.90,a366ed78fb465fbb0964b33f1f3c9a586ec729fc37330465328f33701d8755cf,cem,2,2,0.496000,15,63400015,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_mass_minus10_cem_eta0p496_seed63400015
2,mass_minus10,mass,0.90,a366ed78fb465fbb0964b33f1f3c9a586ec729fc37330465328f33701d8755cf,cem,1,2,0.496000,16,63400016,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_mass_minus10_cem_eta0p496_seed63400016
2,mass_minus10,mass,0.90,a366ed78fb465fbb0964b33f1f3c9a586ec729fc37330465328f33701d8755cf,pinv,2,2,0.496000,16,63400016,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_mass_minus10_pinv_eta0p496_seed63400016
2,mass_minus10,mass,0.90,a366ed78fb465fbb0964b33f1f3c9a586ec729fc37330465328f33701d8755cf,pinv,1,2,0.496000,17,63400017,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_mass_minus10_pinv_eta0p496_seed63400017
2,mass_minus10,mass,0.90,a366ed78fb465fbb0964b33f1f3c9a586ec729fc37330465328f33701d8755cf,cem,2,2,0.496000,17,63400017,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_mass_minus10_cem_eta0p496_seed63400017
2,mass_minus10,mass,0.90,a366ed78fb465fbb0964b33f1f3c9a586ec729fc37330465328f33701d8755cf,cem,1,2,0.496000,18,63400018,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_mass_minus10_cem_eta0p496_seed63400018
2,mass_minus10,mass,0.90,a366ed78fb465fbb0964b33f1f3c9a586ec729fc37330465328f33701d8755cf,pinv,2,2,0.496000,18,63400018,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_mass_minus10_pinv_eta0p496_seed63400018
2,mass_minus10,mass,0.90,a366ed78fb465fbb0964b33f1f3c9a586ec729fc37330465328f33701d8755cf,pinv,1,2,0.496000,19,63400019,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_mass_minus10_pinv_eta0p496_seed63400019
2,mass_minus10,mass,0.90,a366ed78fb465fbb0964b33f1f3c9a586ec729fc37330465328f33701d8755cf,cem,2,2,0.496000,19,63400019,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_mass_minus10_cem_eta0p496_seed63400019
2,mass_minus10,mass,0.90,a366ed78fb465fbb0964b33f1f3c9a586ec729fc37330465328f33701d8755cf,cem,1,2,0.496000,20,63400020,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_mass_minus10_cem_eta0p496_seed63400020
2,mass_minus10,mass,0.90,a366ed78fb465fbb0964b33f1f3c9a586ec729fc37330465328f33701d8755cf,pinv,2,2,0.496000,20,63400020,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_mass_minus10_pinv_eta0p496_seed63400020
2,mass_minus10,mass,0.90,a366ed78fb465fbb0964b33f1f3c9a586ec729fc37330465328f33701d8755cf,pinv,1,2,0.496000,21,63400021,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_mass_minus10_pinv_eta0p496_seed63400021
2,mass_minus10,mass,0.90,a366ed78fb465fbb0964b33f1f3c9a586ec729fc37330465328f33701d8755cf,cem,2,2,0.496000,21,63400021,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_mass_minus10_cem_eta0p496_seed63400021
2,mass_minus10,mass,0.90,a366ed78fb465fbb0964b33f1f3c9a586ec729fc37330465328f33701d8755cf,cem,1,2,0.496000,22,63400022,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_mass_minus10_cem_eta0p496_seed63400022
2,mass_minus10,mass,0.90,a366ed78fb465fbb0964b33f1f3c9a586ec729fc37330465328f33701d8755cf,pinv,2,2,0.496000,22,63400022,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_mass_minus10_pinv_eta0p496_seed63400022
2,mass_minus10,mass,0.90,a366ed78fb465fbb0964b33f1f3c9a586ec729fc37330465328f33701d8755cf,pinv,1,2,0.496000,23,63400023,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_mass_minus10_pinv_eta0p496_seed63400023
2,mass_minus10,mass,0.90,a366ed78fb465fbb0964b33f1f3c9a586ec729fc37330465328f33701d8755cf,cem,2,2,0.496000,23,63400023,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_mass_minus10_cem_eta0p496_seed63400023
