motor,eta,candidate,r1,r2,r3,r4,predicted_vz,corrected_vz,loss,config
4,0.497,opp_m2_12000,0,12000,0,0,0.3416,0.3426,0.5440752,cem_tuned
4,0.497,opp_m2_12000,0,12000,0,0,0.3416,0.3426,0.5440752,cem_tuned
4,0.497,opp_m2_12000,0,12000,0,0,0.3416,0.3426,0.5440752,cem_tuned
4,0.497,opp_m2_12000,0,12000,0,0,0.3416,0.3426,0.5440752,cem_tuned
4,0.497,opp_m2_12000,0,12000,0,0,0.3416,0.3426,0.5440752,cem_tuned
1,0.4975,opp_m3_12000,0,0,12000,0,0.3386,0.3386,0.2505023999999999,cem_tuned
1,0.4975,opp_m3_12000,0,0,12000,0,0.3386,0.3386,0.2505023999999999,cem_tuned
1,0.4975,opp_m3_12000,0,0,12000,0,0.3386,0.3386,0.2505023999999999,cem_tuned
1,0.4975,opp_m3_12000,0,0,12000,0,0.3386,0.3386,0.2505023999999999,cem_tuned
1,0.4975,opp_m3_12000,0,0,12000,0,0.3386,0.3386,0.2505023999999999,cem_tuned
1,0.4975,opp_m3_12000,0,0,12000,0,0.3386,0.3386,0.2505023999999999,cem_tuned
2,0.4975,balanced_2500_0_2500_12000,2500,0,2500,12000,0.33785000000000004,0.33785000000000004,0.3043940000000009,cem_tuned
2,0.4975,balanced_2500_0_2500_12000,2500,0,2500,12000,0.33785000000000004,0.33785000000000004,0.3043940000000009,cem_tuned
2,0.4975,balanced_2500_0_2500_12000,2500,0,2500,12000,0.33785000000000004,0.33785000000000004,0.3043940000000009,cem_tuned
2,0.4975,balanced_2500_0_2500_12000,2500,0,2500,12000,0.33785000000000004,0.33785000000000004,0.3043940000000009,cem_tuned
2,0.4975,balanced_2500_0_2500_12000,2500,0,2500,12000,0.33785000000000004,0.33785000000000004,0.3043940000000009,cem_tuned
2,0.4975,balanced_2500_0_2500_12000,2500,0,2500,12000,0.33785000000000004,0.33785000000000004,0.3043940000000009,cem_tuned
3,0.4975,opp_m1_13000,13000,0,0,0,0.33664999999999995,0.33664999999999995,0.21145359999999916,cem_tuned
3,0.4975,opp_m1_13000,13000,0,0,0,0.33664999999999995,0.33664999999999995,0.21145359999999916,cem_tuned
3,0.4975,opp_m1_13000,13000,0,0,0,0.33664999999999995,0.33664999999999995,0.21145359999999916,cem_tuned
3,0.4975,opp_m1_13000,13000,0,0,0,0.33664999999999995,0.33664999999999995,0.21145359999999916,cem_tuned
3,0.4975,opp_m1_13000,13000,0,0,0,0.33664999999999995,0.33664999999999995,0.21145359999999916,cem_tuned
3,0.4975,opp_m1_13000,13000,0,0,0,0.33664999999999995,0.33664999999999995,0.21145359999999916,cem_tuned
4,0.4975,opp_m2_12000,0,12000,0,0,0.3386,0.3386,0.2682527999999999,cem_tuned
4,0.4975,opp_m2_12000,0,12000,0,0,0.3386,0.3386,0.2682527999999999,cem_tuned
4,0.4975,opp_m2_12000,0,12000,0,0,0.3386,0.3386,0.2682527999999999,cem_tuned
4,0.4975,opp_m2_12000,0,12000,0,0,0.3386,0.3386,0.2682527999999999,cem_tuned
4,0.4975,opp_m2_12000,0,12000,0,0,0.3386,0.3386,0.2682527999999999,cem_tuned
4,0.4975,opp_m2_12000,0,12000,0,0,0.3386,0.3386,0.2682527999999999,cem_tuned
1,0.498,opp_m3_12000,0,0,12000,0,0.3356,0.3356,0.18012671999999993,cem_tuned
1,0.498,opp_m3_12000,0,0,12000,0,0.3356,0.3356,0.18012671999999993,cem_tuned
1,0.498,opp_m3_12000,0,0,12000,0,0.3356,0.3356,0.18012671999999993,cem_tuned
1,0.498,opp_m3_12000,0,0,12000,0,0.3356,0.3356,0.18012671999999993,cem_tuned
1,0.498,opp_m3_12000,0,0,12000,0,0.3356,0.3356,0.18012671999999993,cem_tuned
1,0.498,opp_m3_12000,0,0,12000,0,0.3356,0.3356,0.18012671999999993,cem_tuned
2,0.498,balanced_2000_0_2000_12000,2000,0,2000,12000,0.335,0.335,0.20000000000000007,cem_tuned
2,0.498,balanced_2000_0_2000_12000,2000,0,2000,12000,0.335,0.335,0.20000000000000007,cem_tuned
2,0.498,balanced_2000_0_2000_12000,2000,0,2000,12000,0.335,0.335,0.20000000000000007,cem_tuned
2,0.498,balanced_2000_0_2000_12000,2000,0,2000,12000,0.335,0.335,0.20000000000000007,cem_tuned
2,0.498,balanced_2000_0_2000_12000,2000,0,2000,12000,0.335,0.335,0.20000000000000007,cem_tuned
2,0.498,balanced_2000_0_2000_12000,2000,0,2000,12000,0.335,0.335,0.20000000000000007,cem_tuned
3,0.498,opp_m1_12000,12000,0,0,0,0.3356,0.3356,0.16808447999999998,cem_tuned
3,0.498,opp_m1_12000,12000,0,0,0,0.3356,0.3356,0.16808447999999998,cem_tuned
3,0.498,opp_m1_12000,12000,0,0,0,0.3356,0.3356,0.16808447999999998,cem_tuned
3,0.498,opp_m1_12000,12000,0,0,0,0.3356,0.3356,0.16808447999999998,cem_tuned
3,0.498,opp_m1_12000,12000,0,0,0,0.3356,0.3356,0.16808447999999998,cem_tuned
3,0.498,opp_m1_12000,12000,0,0,0,0.3356,0.3356,0.16808447999999998,cem_tuned
4,0.498,opp_m2_12000,0,12000,0,0,0.3356,0.3356,0.18614783999999993,cem_tuned
4,0.498,opp_m2_12000,0,12000,0,0,0.3356,0.3356,0.18614783999999993,cem_tuned
4,0.498,opp_m2_12000,0,12000,0,0,0.3356,0.3356,0.18614783999999993,cem_tuned
4,0.498,opp_m2_12000,0,12000,0,0,0.3356,0.3356,0.18614783999999993,cem_tuned
4,0.498,opp_m2_12000,0,12000,0,0,0.3356,0.3356,0.18614783999999993,cem_tuned
4,0.498,opp_m2_12000,0,12000,0,0,0.3356,0.3356,0.18614783999999993,cem_tuned
