configuration,motor,trial_seed,source_csv,rows,actual_fault_t,fault_z,fault_vz,contact_found,contact_t,fault_to_contact_s,safe_touchdown,vertical_speed_mps,vertical_speed_margin_mps,horizontal_speed_mps,max_tilt_deg,angular_rate_radps,horizontal_drift_m,vertical_speed_ok,horizontal_speed_ok,roll_pitch_ok,angular_rate_ok,drift_ok
cem_tuned,1,14980009,logs/qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed14980009.csv,4209,10.12598180770874,0.7290113568305969,-0.0035654681269079447,True,13.307987689971924,3.1820058822631836,True,0.33081337809562683,0.019186621904373147,0.019336909066381372,0.15851716697216034,0.020902386913043504,0.336938476650317,True,True,True,True,True
cem_tuned,1,14980010,logs/qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed14980010.csv,4194,10.003941297531128,0.7013933062553406,-0.003769432660192251,True,13.042986154556274,3.0390448570251465,True,0.33070215582847595,0.019297844171524026,0.021342054223257904,0.177508145570755,0.022396861358727416,0.29134517927207404,True,True,True,True,True
cem_tuned,1,14980011,logs/qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed14980011.csv,4191,9.990150928497314,0.7228776216506958,-0.00406515970826149,True,13.211195230484009,3.2210443019866943,True,0.31761816143989563,0.03238183856010435,0.018994555953458416,0.1856391578912735,0.023051660580057965,0.330336206677139,True,True,True,True,True
cem_tuned,1,14980012,logs/qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed14980012.csv,4194,10.005483627319336,0.7292224168777466,-0.0038764646742492914,True,13.105453491210938,3.0999698638916016,True,0.3463592529296875,0.003640747070312478,0.01814731517854011,0.13084274530410767,0.0233383478848422,0.2953786962663298,True,True,True,True,True
cem_tuned,1,14980013,logs/qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed14980013.csv,4158,9.785993814468384,0.7294241786003113,-0.004002721980214119,True,12.924755573272705,3.1387617588043213,True,0.3388387858867645,0.011161214113235451,0.01951157285199146,0.15657787024974823,0.022871321312732902,0.30836814876797725,True,True,True,True,True
cem_tuned,1,14980014,logs/qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed14980014.csv,4176,9.903813600540161,0.7025707960128784,-0.0038057381752878428,True,13.04974102973938,3.1459274291992188,True,0.31352898478507996,0.03647101521492002,0.0190477452048696,0.20979145169258118,0.02099702536356134,0.3155963940270636,True,True,True,True,True
cem_tuned,1,14980015,logs/qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed14980015.csv,4167,9.845884561538696,0.7088257074356079,-0.0038734949193894863,True,12.871815204620361,3.025930643081665,True,0.3403816223144531,0.009618377685546853,0.020036053308317137,0.17460137605667114,0.024335464829521924,0.3004641609787656,True,True,True,True,True
cem_tuned,1,14980016,logs/qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed14980016.csv,4206,10.083874225616455,0.7113745212554932,-0.0039632804691791534,True,13.124817848205566,3.0409436225891113,True,0.34520161151885986,0.0047983884811401145,0.020081536626476215,0.18070891499519348,0.024795917634731757,0.3108416670125583,True,True,True,True,True
cem_tuned,1,14980017,logs/qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed14980017.csv,4170,9.877381324768066,0.722766101360321,-0.00408026622608304,True,12.988464593887329,3.1110832691192627,True,0.34359756112098694,0.006402438879013039,0.018167641486265273,0.16864824295043945,0.02396206532293996,0.32401174481935324,True,True,True,True,True
cem_tuned,1,14980018,logs/qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed14980018.csv,4212,10.14847707748413,0.694973349571228,-0.0034058494493365288,True,13.148331880569458,2.999854803085327,True,0.3317440450191498,0.018255954980850198,0.022152920512611956,0.1778658777475357,0.026121789749162242,0.3238477217574316,True,True,True,True,True
